Chromosome	Start	Stop	Strand	Gene Symbol	gene_biotype	gene_name	gene_source	TB66RL	TB66RR	TB65RL	TB61RR	TB68RR	TB61RL	TB64RL	TB64RR	TB65RR	TB68RL
16	90554164	90554887	+	1110008E08Rik	lncRNA	1110008E08Rik	ensembl_havana	0.0001	0.017674	0.021571	0.0112333	0.0001	0.0106488	0.0217512	0.00949057	0.0001	0.0107289
2	32377097	32381939	-	1110008P14Rik	protein_coding	1110008P14Rik	ensembl_havana	6.36426	6.92427	5.75431	7.04748	5.83245	7.36321	6.22485	6.02887	6.27954	5.93101
X	70385877	70389418	+	1110012L19Rik	protein_coding	1110012L19Rik	ensembl_havana	2.23813	2.48682	2.23308	3.17283	2.42922	2.82719	2.37091	2.01907	2.46503	2.6148
15	100613173	100613844	-	1110013H19Rik	lncRNA	1110013H19Rik	havana	0.175854	0.0879698	0.21481	0.222767	0.0329275	0.0950394	0.184136	0.16913	0.145096	0.127646
3	4797558	4814912	+	1110015O18Rik	lncRNA	1110015O18Rik	havana	0.268357	0.254922	0.11819	0.4009	0.284605	0.263821	0.238264	0.291208	0.145096	0.18079
4	41505009	41517334	-	1110017D15Rik	protein_coding	1110017D15Rik	ensembl_havana	0.0556014	0.0616089	0.11819	0.0891667	0.0766975	0.0844906	0.108356	0.0846151	0.0893281	0.0532443
2	167188702	167192809	+	1110018N20Rik	lncRNA	1110018N20Rik	havana	4.93973	4.54296	4.93842	8.33899	4.61784	10.0426	6.74446	5.54053	4.96341	4.77246
6	13871526	14044386	+	1110019D14Rik	lncRNA	1110019D14Rik	havana	1.8779	1.04575	1.64263	1.18023	1.21472	1.61407	1.02853	1.41808	1.4166	1.62631
17	84917182	84957711	-	1110020A21Rik	lncRNA	1110020A21Rik	havana	0.786369	1.09847	1.01997	1.2693	0.995867	1.03388	1.00688	0.713783	0.981609	1.30745
15	81584174	81585029	-	1110025M09Rik	TEC	1110025M09Rik	havana	0.888122	0.905159	0.97703	0.879634	0.70042	0.780713	0.714591	0.901595	1.30506	1.09487
9	50762828	50775521	-	1110032A03Rik	protein_coding	1110032A03Rik	ensembl_havana	5.9295	5.2635	6.77418	6.03436	6.54371	6.11842	6.0841	6.23544	5.95608	6.27112
3	68869586	68872164	+	1110032F04Rik	protein_coding	1110032F04Rik	ensembl_havana	0.240606	0.413088	0.343636	0.278433	0.4378	0.400955	0.292392	0.33816	0.256631	0.350852
7	29155680	29156921	+	1110035H17Rik	lncRNA	1110035H17Rik	ensembl_havana	0.0648516	0.0616089	0.11819	0.0223667	0.17518	0.0317465	0.162484	0.0470528	0.0558676	0.117017
17	34950238	34952472	-	1110038B12Rik	lncRNA	1110038B12Rik	havana	1.52639	2.01232	1.25615	1.85937	1.49922	1.93053	1.94871	1.92517	1.87389	1.41374
15	76948506	76950980	+	1110038F14Rik	protein_coding	1110038F14Rik	ensembl_havana	4.64372	4.92081	4.87401	4.94331	5.15402	6.24502	4.75255	4.75174	5.40956	6.34552
13	33935567	33960182	+	1110046J04Rik	lncRNA	1110046J04Rik	havana	0.39786	0.483384	0.493933	0.6347	0.48157	0.590834	0.498079	0.638659	0.713925	0.563429
2	91275068	91444705	-	1110051M20Rik	protein_coding	1110051M20Rik	ensembl_havana	21.9786	23.3031	24.4662	27.9003	21.3708	31.2774	23.8704	20.7908	25.4636	23.5642
19	21581202	21652977	-	1110059E24Rik	protein_coding	1110059E24Rik	ensembl_havana	3.96845	4.42874	4.144	3.9747	3.76432	4.23018	3.10705	3.47461	4.50612	3.92215
9	122945089	122951001	-	1110059G10Rik	protein_coding	1110059G10Rik	ensembl_havana	3.56144	3.5061	3.74679	3.7409	3.74243	4.05085	3.89732	2.90179	3.76999	4.03906
4	124849080	124851197	-	1110065P20Rik	protein_coding	1110065P20Rik	ensembl_havana	1.86865	2.79436	2.44779	3.0061	2.07918	3.03816	2.46834	1.92517	3.36846	2.6892
8	120608602	120647633	-	1190005I06Rik	protein_coding	1190005I06Rik	ensembl_havana	2.43291	3.32158	3.0097	3.01724	2.77949	3.51286	3.60503	2.81727	3.33782	3.7946
10	82619851	82623229	-	1190007I07Rik	protein_coding	1190007I07Rik	ensembl_havana	1.10088	1.283	1.15953	0.979834	0.984925	0.970592	0.638812	0.967328	1.07084	1.11613
16	21794318	21809041	+	1300002E11Rik	lncRNA	1300002E11Rik	havana	12.9973	11.8401	12.7429	11.2844	14.5627	11.3231	11.6744	12.4756	14.1218	13.4143
12	80115863	80117200	+	1300014J16Rik	lncRNA	1300014J16Rik	havana	1.27663	1.12483	1.32057	1.0355	1.45545	1.44529	0.96358	1.50259	1.37198	2.11524
9	103250521	103305083	-	1300017J02Rik	protein_coding	1300017J02Rik	ensembl_havana	0.0833521	0.0791828	0.0859839	0.1003	0.120467	0.147784	0.0650537	0.0940057	0.111635	0.0957597
4	155732545	155734728	-	1500002C15Rik	lncRNA	1500002C15Rik	ensembl_havana	0.860371	0.922732	0.676436	0.8351	0.842672	0.780714	0.952754	0.82647	0.825461	0.988583
7	132874739	132931198	-	1500002F19Rik	lncRNA	1500002F19Rik	havana	0.0741018	0.0528219	0.0859839	0.1337	0.0329275	0.0001	0.17331	0.112787	0.0670211	0.117017
3	88782943	88832548	-	1500004A13Rik	lncRNA	1500004A13Rik	havana	23.7066	25.0752	24.5213	23.8453	23.2952	26.2535	26.4168	24.7244	23.5583	22.0001
3	127714634	127717028	-	1500005C15Rik	TEC	1500005C15Rik	havana	0.120353	0.0967568	0.225545	0.211633	0.240835	0.0211977	0.281566	0.131568	0.234324	0.170162
15	82252397	82260754	+	1500009C09Rik	protein_coding	1500009C09Rik	ensembl_havana	6.05901	6.76603	5.76507	7.13656	5.71211	8.96656	8.04357	5.40905	6.59188	6.44117
10	83722865	83762763	+	1500009L16Rik	protein_coding	1500009L16Rik	ensembl_havana	0.841871	0.905159	0.730113	0.5011	1.06152	0.833457	0.920278	0.713783	0.658157	0.797264
5	114808196	114823469	-	1500011B03Rik	protein_coding	1500011B03Rik	ensembl_havana	14.56	16.1066	15.7705	16.9562	15.3415	16.8044	18.5336	16.4618	16.63	15.1568
7	75308696	75331420	+	1500012K07Rik	lncRNA	1500012K07Rik	havana	0.259106	0.140692	0.268487	0.2339	0.317432	0.168881	0.17331	0.103396	0.468548	0.265821
18	61726390	61735918	+	1500015A07Rik	lncRNA	1500015A07Rik	havana	2.30341	1.89809	2.13646	2.8725	1.81656	2.64786	1.61312	2.21628	2.34234	2.07273
19	20324856	20444884	+	1500015L24Rik	lncRNA	1500015L24Rik	havana	0.0186005	0.00888698	0.021571	0.0001	0.0110425	0.0001	0.0217512	0.0001	0.022407	0.0001
10	89686371	89700867	+	1500026H17Rik	lncRNA	1500026H17Rik	havana	0.638366	0.676697	0.579817	0.979834	0.492512	0.844006	0.368171	0.535362	0.490855	0.627202
19	4254031	4257652	-	1500032F14Rik	lncRNA	1500032F14Rik	havana	0.0371009	0.0967568	0.0752484	0.0780334	0.186122	0.116137	0.0758793	0.0564434	0.0112535	0.106389
5	24985842	24998169	+	1500035N22Rik	lncRNA	1500035N22Rik	ensembl_havana	0.0463511	0.0616089	0.0645129	0.0223667	0.065755	0.0001	0.0650537	0.0001	0.0781746	0.0107289
17	23704488	23722784	-	1520401A03Rik	protein_coding	1520401A03Rik	ensembl_havana	0.129603	0.0967568	0.0537775	0.2005	0.021985	0.0844906	0.17331	0.0940057	0.156249	0.0213577
10	80172944	80175147	+	1600002K03Rik	protein_coding	1600002K03Rik	ensembl_havana	1.05463	1.23028	1.1488	1.71463	0.809845	1.68791	1.33165	1.17392	1.21583	1.06299
17	14943184	14959571	+	1600012H06Rik	protein_coding	1600012H06Rik	ensembl_havana	9.26886	8.72556	9.90893	9.28529	8.55714	8.2598	7.8487	9.9822	9.82634	9.43858
7	38183217	38197569	+	1600014C10Rik	protein_coding	1600014C10Rik	ensembl_havana	4.8287	4.84173	5.30341	5.26617	4.8695	5.28506	4.96904	4.35733	5.43188	4.82561
17	45732864	45733845	-	1600014C23Rik	protein_coding	1600014C23Rik	ensembl_havana	0.333108	0.281283	0.161132	0.378633	0.372145	0.221625	0.205787	0.187911	0.234324	0.191419
3	30594844	30595758	-	1600017P15Rik	TEC | misc_RNA	1600017P15Rik	ensembl | havana	0.111103	0.0967568	0.161132	0.0780334	0.04387	0.0739418	0.162484	0.0564434	0.0893281	0.0213577
6	86526247	86582467	+	1600020E01Rik	lncRNA	1600020E01Rik	havana	2.82142	3.97181	4.07959	4.28643	3.46887	4.4939	3.91897	3.11777	3.71422	4.26227
5	45668702	45669709	-	1600023N17Rik	TEC	1600023N17Rik	havana	0.249856	0.17584	0.279223	0.3007	0.459685	0.548639	0.108356	0.197302	0.334705	0.244564
8	103343878	103347535	-	1600027J07Rik	lncRNA	1600027J07Rik	havana	0.0001	0.00888698	0.021571	0.0223667	0.0329275	0.0106488	0.0001	0.0001	0.0112535	0.0001
9	58202897	58208809	+	1600029O15Rik	transcribed_processed_pseudogene	1600029O15Rik	havana	0.120353	0.167053	0.0537775	0.155967	0.08764	0.147784	0.162484	0.197302	0.111635	0.106389
14	43342383	43347812	-	1700001F09Rik	protein_coding	1700001F09Rik	ensembl_havana	0.0463511	0.0616089	0.247016	0.0153194	0.0985825	0.189979	0.168977	0.131568	0.0558676	0.0532443
14	66295334	66297130	-	1700001G11Rik	lncRNA	1700001G11Rik	havana	0.0001	0.0879698	0.0001	0.0223667	0.109525	0.0001	0.0325769	0.16913	0.145096	0.0319866
1	33669824	33670713	+	1700001G17Rik	TEC	1700001G17Rik	ensembl_havana	0.101853	0.0440349	0.182603	0.0557667	0.0985825	0.221625	0.0325769	0.150349	0.0447141	0.138275
5	146182441	146185305	-	1700001J03Rik	protein_coding	1700001J03Rik	ensembl_havana	0.0648516	0.105544	0.161132	0.0891667	0.0766975	0.200528	0.130007	0.225474	0.100482	0.117017
12	110667688	110682620	-	1700001K19Rik	protein_coding	1700001K19Rik	ensembl_havana	0.305358	0.0791828	0.193339	0.1003	0.0548125	0.147784	0.162484	0.15974	0.212017	0.0851308
15	83353847	83367283	-	1700001L05Rik	lncRNA	1700001L05Rik	ensembl_havana	1.8409	2.14412	1.52454	1.85937	2.27614	2.14151	1.90541	1.71857	1.39429	2.30656
13	68597421	68614232	+	1700001L19Rik	protein_coding	1700001L19Rik	ensembl_havana	0.129603	0.254922	0.225545	0.3007	0.30649	0.17943	0.281566	0.422676	0.145096	0.27645
2	30794769	30803662	-	1700001O22Rik	protein_coding	1700001O22Rik	ensembl_havana	0.601365	0.623976	0.848204	0.445434	0.820787	0.801811	0.61716	0.65744	0.535469	0.669718
11	97771481	97775919	-	1700001P01Rik	protein_coding	1700001P01Rik	ensembl_havana	0.0186005	0.00888698	0.0537775	0.0780334	0.021985	0.0001	0.0325769	0.0470528	0.022407	0.0532443
6	83156404	83162946	+	1700003E16Rik	protein_coding	1700003E16Rik	ensembl_havana	2.47916	2.17927	2.38338	1.7703	1.98069	2.2259	2.6199	2.19749	1.68428	2.24279
2	154547085	154550004	+	1700003F12Rik	protein_coding	1700003F12Rik	ensembl_havana	0.00935023	0.0528219	0.0001	0.0112333	0.0110425	0.137235	0.0001	0.0001	0.0112535	0.0001
7	116081759	116093160	-	1700003G18Rik	lncRNA	1700003G18Rik	havana	0.101853	0.228561	0.11819	0.0669	0.065755	0.284918	0.216612	0.065834	0.0893281	0.0319866
4	129960374	129963658	+	1700003M07Rik	lncRNA	1700003M07Rik	havana	0.00935023	0.105544	0.0645129	0.0557667	0.021985	0.0528441	0.0650537	0.131568	0.122789	0.0426154
3	8462228	8463036	-	1700003N22Rik	processed_pseudogene	1700003N22Rik	havana	0.00935023	0.017674	0.0001	0.0001	0.0001	0.0317465	0.0336402	0.0188811	0.022407	0.0107289
13	118555360	118588705	+	1700003P14Rik	lncRNA	1700003P14Rik	havana	0.0278507	0.0001	0.043042	0.0335	0.0110425	0.116137	0.0325769	0.0282717	0.0670211	0.0426154
14	119749225	119751565	+	1700006F04Rik	lncRNA	1700006F04Rik	havana	0.00935023	0.0352479	0.043042	0.0335	0.021985	0.0317465	0.0217512	0.0188811	0.0112535	0.0426154
10	120364157	120384337	+	1700006J14Rik	lncRNA	1700006J14Rik	ensembl_havana	0.0186005	0.017674	0.0001	0.0001	0.0110425	0.0211977	0.0001	0.0470528	0.0558676	0.0107289
16	31376506	31379134	-	1700007E05Rik	transcribed_processed_pseudogene	1700007E05Rik	havana	1.20263	0.90519	1.35277	0.853342	0.908327	0.836862	0.698537	0.641829	0.927651	1.10028
2	28462001	28466333	-	1700007K13Rik	protein_coding	1700007K13Rik	ensembl_havana	0.41636	0.413088	0.311429	0.5345	0.492512	0.211077	0.541381	0.263036	0.301245	0.584687
16	33379854	33380728	-	1700007L15Rik	lncRNA	1700007L15Rik	havana	0.351609	0.386727	0.558346	0.412033	0.492512	0.443151	0.368171	0.272427	0.357013	0.435883
9	99322826	99323517	+	1700008A23Rik	TEC	1700008A23Rik	havana	0.0463511	0.0001	0.0537775	0.0335	0.0001	0.0211977	0.108356	0.00949057	0.0335605	0.0001
7	127510438	127512870	-	1700008J07Rik	lncRNA	1700008J07Rik	havana	1.40613	1.11605	1.40645	1.21363	1.35697	1.21322	1.48321	1.01428	1.47236	1.21179
7	44360043	44385821	-	1700008O03Rik	protein_coding	1700008O03Rik	ensembl_havana	0.0833521	0.0616089	0.0537775	0.0780334	0.109525	0.0950394	0.0542281	0.0940057	0.178556	0.106389
15	73645852	73652348	+	1700010B13Rik	lncRNA	1700010B13Rik	havana	0.0001	0.0264609	0.0752484	0.0112333	0.0001	0.0001	0.0001	0.0376623	0.0112535	0.0213577
15	64314497	64316077	+	1700010G06Rik	lncRNA	1700010G06Rik	havana	0.0371009	0.131905	0.0859839	0.0891667	0.065755	0.0739418	0.0109256	0.0564434	0.0335605	0.0957597
17	8988333	9011950	+	1700010I14Rik	protein_coding	1700010I14Rik	ensembl_havana	0.138853	0.114331	0.150397	0.0780334	0.0985825	0.137235	0.119182	0.122177	0.156249	0.0957596
8	79210431	79248571	-	1700011L22Rik	protein_coding	1700011L22Rik	ensembl_havana	0.00935023	0.017674	0.0537775	0.0557667	0.0001	0.0106488	0.0109256	0.0001	0.133942	0.0532443
7	111083064	111122685	-	1700012D14Rik	lncRNA	1700012D14Rik	havana	6.00452	4.94157	6.64953	5.3741	6.49012	4.97045	5.36089	4.9277	5.80597	6.44305
3	153296504	153298650	-	1700012D16Rik	lncRNA	1700012D16Rik	havana	0.0926023	0.0967568	0.128926	0.0557667	0.065755	0.126686	0.119182	0.0752246	0.0447141	0.127646
1	120435805	120438456	+	1700012E03Rik	lncRNA	1700012E03Rik	havana	0.0186005	0.0264609	0.0001	0.0112333	0.021985	0.0211977	0.0650537	0.0188811	0.0112535	0.0001
3	108534150	108544724	+	1700013F07Rik	protein_coding	1700013F07Rik	ensembl_havana	0.166604	0.0616088	0.0645129	0.0335	0.0329275	0.0528441	0.194961	0.0846151	0.0335605	0.0319866
13	59740842	59746753	-	1700014D04Rik	protein_coding	1700014D04Rik	ensembl_havana	0.120353	0.0879698	0.021571	0.0335	0.0110425	0.063393	0.086705	0.0470528	0.100482	0.0426154
5	5437827	5479144	-	1700015F17Rik	protein_coding	1700015F17Rik	ensembl_havana	0.0278507	0.0879698	0.0108355	0.0112333	0.021985	0.0422953	0.0001	0.0001	0.0112535	0.0001
8	120536892	120537727	-	1700016A09Rik	TEC	1700016A09Rik	havana	0.0463511	0.017674	0.0859839	0.0557667	0.0766975	0.0211977	0.0542281	0.0001	0.0335605	0.0319866
7	118740449	118741182	-	1700016B15Rik	TEC	1700016B15Rik	havana	0.0278507	0.00888698	0.043042	0.0335	0.0001	0.0317465	0.0001	0.0188811	0.0670211	0.0001
10	42018216	42018811	+	1700016J18Rik	lncRNA	1700016J18Rik	havana	0.0648516	0.0352479	0.0645129	0.0112333	0.0548125	0.0001	0.0109256	0.0376623	0.0670211	0.0001
11	75999912	76003570	+	1700016K19Rik	protein_coding	1700016K19Rik	ensembl_havana	0.0278507	0.0264609	0.021571	0.0891667	0.04387	0.116137	0.0325769	0.0940057	0.100482	0.0319866
1	80445932	80479868	+	1700016L21Rik	lncRNA	1700016L21Rik	havana	0.0926023	0.0879698	0.128926	0.122567	0.142352	0.0950394	0.0542281	0.0752246	0.133942	0.074502
11	75172560	75177634	+	1700016P03Rik	lncRNA	1700016P03Rik	havana	0.370109	0.369153	0.354371	0.144833	0.26272	0.168881	0.34652	0.33816	0.234324	0.27645
9	57253117	57262613	-	1700017B05Rik	protein_coding	1700017B05Rik	ensembl_havana	1.27663	1.20392	1.23468	1.21363	0.952097	1.3398	1.16927	1.62467	1.24929	1.435
3	40504867	40522913	-	1700017G19Rik	lncRNA	1700017G19Rik	ensembl_havana	0.0556014	0.0264609	0.021571	0.0557667	0.08764	0.105588	0.0109256	0.0564434	0.0670211	0.0001
10	100590484	100618402	+	1700017N19Rik	protein_coding	1700017N19Rik	ensembl_havana	0.0556014	0.0528219	0.0967194	0.0335	0.0329275	0.0844906	0.151659	0.065834	0.111635	0.074502
13	31565492	31625793	-	1700018A04Rik	lncRNA	1700018A04Rik	ensembl_havana	0.0463511	0.0440349	0.0001	0.0001	0.0110425	0.0001	0.0109256	0.0282717	0.022407	0.0107289
18	46199021	46199732	+	1700018A14Rik	TEC	1700018A14Rik	ensembl_havana	0.0741018	0.0791828	0.043042	0.1337	0.04387	0.0528441	0.0542281	0.103396	0.0558676	0.0638731
19	29046245	29048730	+	1700018L02Rik	lncRNA	1700018L02Rik	havana	0.481112	0.544893	0.42952	0.645834	0.623822	0.548639	0.552207	0.422676	0.446241	0.308337
1	53158577	53187637	-	1700019A02Rik	protein_coding	1700019A02Rik	ensembl_havana	0.0001	0.0001	0.0001	0.0223667	0.0329275	0.0001	0.0325769	0.0188811	0.0001	0.0001
1	52922324	53020180	-	1700019D03Rik	protein_coding	1700019D03Rik	ensembl_havana	3.7644	3.58861	3.63943	3.65627	3.63186	3.87151	3.29399	4.35033	3.52166	3.41197
9	14089620	14118302	+	1700019J19Rik	lncRNA	1700019J19Rik	havana	0.138853	0.0264609	0.0108355	0.0001	0.0001	0.0106488	0.0758793	0.0564434	0.0447141	0.0001
9	119983146	119988093	+	1700019L13Rik	lncRNA	1700019L13Rik	havana	0.00935023	0.0001	0.043042	0.0335	0.0329275	0.0001	0.0001	0.00949057	0.0001	0.0001
19	58785803	58794462	-	1700019N19Rik	protein_coding	1700019N19Rik	ensembl_havana	0.0556014	0.00888698	0.043042	0.0446334	0.0548125	0.0001	0.0109256	0.0001	0.0112535	0.0107289
19	5502767	5503788	-	1700020D05Rik	protein_coding	1700020D05Rik	havana	2.16465	2.71528	1.9969	2.08203	2.04635	2.34194	2.29513	1.7937	2.27542	2.11524
8	70488181	70489070	+	1700020G03Rik	TEC	1700020G03Rik	havana	0.0186005	0.0264609	0.0108355	0.0112333	0.021985	0.0211977	0.0217512	0.0376623	0.022407	0.0107289
10	43525133	43540995	-	1700021F05Rik	protein_coding	1700021F05Rik	ensembl_havana	5.40223	4.72749	5.6255	4.9099	5.43852	5.06354	4.59016	4.95832	5.13072	5.34641
4	134448766	134450172	-	1700021N21Rik	lncRNA	1700021N21Rik	havana	0.0001	0.00888698	0.0108355	0.0001	0.0001	0.0528441	0.0542281	0.0001	0.0001	0.0001
16	59462909	59469239	-	1700022E09Rik	lncRNA	1700022E09Rik	havana	0.111103	0.0616089	0.128926	0.0780334	0.0548125	0.158332	0.0975306	0.140959	0.0670211	0.138275
17	25985808	25991031	+	1700022N22Rik	lncRNA	1700022N22Rik	havana	0.0833521	0.0440349	0.0645129	0.1671	0.04387	0.126686	0.140833	0.140959	0.18971	0.18079
13	80884224	80885525	-	1700023H06Rik	lncRNA	1700023H06Rik	havana	0.0648516	0.149479	0.0752484	0.0780334	0.04387	0.126686	0.0975306	0.0470528	0.0335605	0.0638731
1	151852403	152090126	-	1700025G04Rik	protein_coding	1700025G04Rik	ensembl_havana	20.9982	22.9516	20.945	20.4854	20.1999	22.0682	21.9762	20.7814	21.6379	21.8955
7	46345771	46349374	-	1700025L06Rik	lncRNA	1700025L06Rik	havana	0.00935023	0.0001	0.021571	0.0223667	0.0110425	0.0739418	0.0109256	0.0001	0.022407	0.0001
6	39063878	39067599	-	1700025N23Rik	lncRNA	1700025N23Rik	havana	0.0001	0.00888698	0.021571	0.0223667	0.04387	0.0001	0.0325769	0.0001	0.022407	0.0001
8	70948246	71085759	-	1700026F02Rik	lncRNA	1700026F02Rik	ensembl_havana	0.18256	0.0725761	0.0583494	0.0669	0.065755	0.0861769	0.0403469	0.147368	0.000100616	0.129734
6	48536582	48537475	-	1700026J14Rik	lncRNA	1700026J14Rik	havana	0.240606	0.430662	0.343636	0.2673	0.26272	0.253272	0.378997	0.197302	0.323552	0.244564
13	47106419	47109520	+	1700026N04Rik	lncRNA	1700026N04Rik	havana	0.0926023	0.105544	0.0752484	0.0780334	0.120467	0.105588	0.140833	0.0470528	0.0112535	0.0213577
5	151368675	151432119	+	1700028E10Rik	lncRNA	1700028E10Rik	havana	3.03418	2.88223	3.52134	3.99697	3.73149	4.44116	3.1287	3.25863	4.65112	3.42259
7	44229811	44246696	-	1700028J19Rik	protein_coding	1700028J19Rik	ensembl_havana	0.0463511	0.0703958	0.0859839	0.1003	0.153295	0.0844906	0.0542281	0.0376623	0.0112535	0.0107289
5	107534709	107551543	+	1700028K03Rik	protein_coding	1700028K03Rik	ensembl_havana	2.12899	2.87886	2.76445	2.54386	2.93562	3.10415	2.97871	2.56203	3.31973	2.70184
11	103264860	103267746	-	1700028N14Rik	lncRNA	1700028N14Rik	havana	0.194355	0.123118	0.21481	0.2673	0.208007	0.116137	0.249089	0.187911	0.256631	0.255192
19	23558753	23652813	-	1700028P14Rik	protein_coding	1700028P14Rik	ensembl_havana	0.0648516	0.0967568	0.0323065	0.0335	0.17518	0.0950394	0.0650537	0.0376623	0.0335605	0.074502
8	13550733	13562462	-	1700029H14Rik	protein_coding	1700029H14Rik	ensembl_havana	0.0371009	0.0791828	0.0323065	0.0446334	0.08764	0.0211977	0.0542281	0.0564434	0.0781746	0.0001
2	92382538	92385709	+	1700029I15Rik	protein_coding	1700029I15Rik	ensembl_havana	1.30438	1.52903	1.58895	2.29357	1.33508	1.89889	1.67807	1.25844	1.66197	1.5094
8	45953606	45975441	-	1700029J07Rik	protein_coding	1700029J07Rik	ensembl_havana	12.3307	12.4512	12.0669	12.3359	12.015	12.6375	11.0639	11.4378	12.8601	11.7875
13	44439712	44469031	+	1700029N11Rik	lncRNA	1700029N11Rik	havana	0.120353	0.0352479	0.0323065	0.0446334	0.021985	0.063393	0.086705	0.0470528	0.022407	0.0957597
12	20804381	20815780	-	1700030C10Rik	lncRNA | transcribed_unprocessed_pseudogene	1700030C10Rik	ensembl_havana | havana	0.971374	0.588828	1.3313	1.08003	0.601937	0.917848	0.876975	0.798298	0.992763	0.584687
11	23497753	23499662	+	1700030C12Rik	lncRNA	1700030C12Rik	ensembl_havana	0.0278507	0.0001	0.0323065	0.0112333	0.0001	0.0211977	0.0001	0.0001	0.0112535	0.0001
12	83122214	83123156	+	1700030I03Rik	TEC	1700030I03Rik	havana	0.157354	0.0879698	0.236281	0.245033	0.164237	0.232174	0.227438	0.263036	0.22317	0.244564
