GSE,Title,Summary,Overall_design,PubMed_ID
GSE284642,Effect of form derivation on mouse retinal transcriptome,"The underlying molecular mechanisms resulting in myopia development are unknown. Here, we employed a mouse model of experimental myopia, inducing form-deprivation myopia using a diffuser goggle. We then analysed retinal transcriptome of form-deprived retinas and contralateral control retinas with RNA sequencing.","Three male C57BL/6J mice were housed in a standard 12-12 hour light-dark cycle.From postnatal day (P) 28, mice were exposed to form-deprivation myopia (FDM) by surgically attaching a head-mounted diffuser goggle over the right eye. The left eye remained uncovered and served as an internal control. Refractive error, corneal curvature and axial length were measured at P28, P35, and P42. Myopic shift was confirmed in the goggled eye. Retinal tissue was collected at P42, RNA was extracted and mRNA levels analyzed using RNA-Seq.",39876870
GSE129479,Ocular disease mechanisms elucidated by genetics of human fetal retinal pigment epithelium gene expression,"The eye is an intricate organ with limited representation in large-scale functional genomics datasets. The retinal pigment epithelium (RPE) serves vital roles in ocular development and retinal homeostasis. We interrogated the genetics of gene expression of cultured human fetal RPE (fRPE) cells under two metabolic conditions. Genes with disproportionately high fRPE expression are enriched for genes related to inherited ocular diseases. Variants near these fRPE-selective genes explain a larger fraction of risk for both age-related macular degeneration (AMD) and myopia than variants near genes enriched in 53 non-ocular human tissues. Increased mitochondrial oxidation of glutamine by fRPE promoted expression of lipid synthesis genes implicated in AMD. Expression and splice quantitative trait loci (e/sQTLs) analyses revealed shared and metabolic condition-specific loci of each type and several eQTLs not previously described in any tissue. Fine mapping of fRPE e/sQTLs across AMD and myopia genome-wide association data suggests new candidate genes, and mechanisms by which the same common variant of RDH5 contributes to both increased AMD risk and decreased myopia risk. Our study highlights the unique transcriptomic characteristics of fRPE and provides a resource to connect e/sQTLs in a critical ocular cell type to monogenic and complex eye disorders.",Examination of 24 fRPE cell lines under glucose and galactose metabolic conditions,31123710
GSE285669,Quercetin diminishes scleral ER stress and protein misfolding: High throughput transcriptome analysis in form-deprivation myopia of guinea pigs,"This study aims to verify the involvement of scleral endoplasmic reticulum stress (ERS) in form-deprived myopia (FDM) model of guinea pigs, investigate the therapeutic effects of quercetin (Qcn) on FDM as well as explore the underlying mechanisms in human scleral fibroblast (HSF).",RNA-seq锛歐e divede guinea pigs into NC group and FDM group. We collected tissue from the posterior pole of the sclera of three right eyes each from the control and FDM groups on day 28 of induction. And then RNA-seq was performed.,
GSE227724,Daily Patterns of Retinal and Choroidal Gene Expression and Circadian Biology in Myopia Pathogenesis,"We investigated diurnal changes in gene expression in the retina and choroid at the onset of experimental myopia. We induced visual form deprivation myopia in young chicks, and isolated retinal and choroidal tissues separately in form- deprived and contralateral control eyes every 4 hours over a single 24-hour period.","After applying RNA-Seq separately to each tissue extract, we used various bioinformatics analyses and gene expression profiling analyses to assess the retinas and choroids of experimental and control eyes at each time point.",38177383
GSE3300,Form deprivation modulates retinal neurogenesis in primate experimental myopia,"Juvenile primates develop myopia when their visual experience is degraded by lid fusion. In response to the abnormal visual input, retinal neural networks cause an excessive growth of the postequatorial segment of the eye, but the mechanism underlying this axial elongation is unknown. By combining analysis of gene expression, injection of the thymidine analog 5-bromo-2'-deoxyuridine and immunocytochemistry, we show that the retinal periphery in both juvenile rhesus macaques and green monkeys harbors a population of mitotically active neuroprogenitor cells that proliferate when the visual experience is altered by lid fusion. Furthermore, the number of dividing cells is highly correlated with the axial elongation of the eye and the resulting myopic refractive error. Thus, the retina undergoes active growth during the postnatal development of the primate eye. This growth is modulated by the visual input and accelerates considerably when the eye develops axial myopia.","cDNA subtractions, construction of cDNA libraries and differential screening were performed as previously described (Tkatchenko et al, 2000). Two subtractions were carried out resulting in two cDNA libraries. One library was enriched in clones potentially up-regulated in the retina of the closed eye and the other was enriched in cDNAs potentially down-regulated. One thousand clones from each library were analyzed, and 535 differentially-expressed cDNAs were amplified by PCR and spotted onto glass slides coated with poly-L-lysine (five duplicates for each cDNA). The slides were then processed, hybridized with Cy3- and Cy5-labeled complex cDNA probes and washed in 0.2xSSC as described at http://cmgm.stanford.edu/pbrown/protocols/. Two hybridizations with color swap were carried for each monkey. After hybridization, slides were scanned using a GenePix 4000B microarray scanner (Axon Instruments, Union City, CA). The images were acquired and processed using the GenePix Pro 5.1 software package (Axon Instruments). The data obtained were normalized against GAPDH expression level and mean values (the reported values) and P-values (probability associated with a Student's t-test) were calculated for duplicate experiments (n = 10) with color swap using Microsoft Excel. Genes were defined as differentially regulated if P< 0.05. Cluster analysis was performed using the Genesis software package (provided by Alexander Sturn, Graz University of Technology, Austria).",16537371
GSE131831,Tissue specific comprehensive gene analysis in a murine lens-induced myopia model,"To identify to identify target tissues and molecules involved with refractive myopic shift and axial length elongation in a murine lens-induced myopia model, we performed comprehensive analysis by microRNA array. Negative 30diptor (-30D) lens was fixed on right eye (-30D) of C57BL/6J mice (3weeks old, N=3) for 3 weeks, the refraction and the axial length were measured using a refractometer and a SD-OCT system in all eyes. Eye balls were enucleated and separated to cornea, iris, lens, retina, choroid and sclera. Total RNA was extracted from individual ocular components. MicroRNA expression analysis was carried out using Agilent Mouse miRNA Microarray (8脳60K) miRBase21.0 (Agilent). Expression ratio calculation and miRNA varying expression were extracted by GeneSpring GX 14.5 (Agilent). After 3weeks of lens fixing, a refractive change and an axial length elongation change were observed (Normal vs -30D: 0.95 卤 1.85D vs -18.42 卤 3.98D, 0.155 mm 卤 0.015mm vs 0.273 卤 0.009 mm), respectively. MiRNA expression changes that induced only by -30D lens fixing was confirmed in each part of the eyeball. By expression ratio calculation and miRNA varying expression analysis, upregulated miRNA (56 in cornea, 13 in iris, 6 in lens, 0 in retina, 29 in choroid and 30 in sclera) and downregulated miRNA (7 in cornea, 28 in iris, 17 in lens, 9 in retina, 7 in choroid and 40 in sclera) were observed. Overlapping miRNAs were also found while each eye tissues. In this study, miRNA varying expression were observed in each ocular part of the murine lens-induced myopia model. These miRNAs dysregulation may be functionally involved with the refractive myopia shift and the axial length elongation.","Eye balls were enucleated and separated to cornea, iris, lens, retina, choroid and sclera. About Each eye tisses, varying miRNA were comfirmed in control group vs lens induced group (Corne control vs cornea lens induced).",31344984
GSE277911,LRP2 gene silencing expression by in vitro shRNA delivery on human iRPE cells,"To investigate the consequence of LRP2 loss-of-function in RPE cells in non-syndromic myopia, we differentiated IPS cells into iRPE in which the LRP2 gene was knocked out by shRNA.",Comparative gene expression profile analysis of RNA-seq data for iRPE scrumble and shRNA LRP2 cells.,40553567
GSE200053,Genome-wide analysis of microRNA-mRNA gene regulatory networks reveals widespread involvement of microRNAs in visually guided eye emmetropization and myopia [mRNA sclera],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, optical defocus triggers a signaling cascade that originates in the retina, propagates across other ocular tissues and results in scleral wall remodeling. This signaling is associated with large-scale changes in gene expression, which was extensively studied at the mRNA level. Although several studies investigated the role of non-coding RNAs in eye emmetropization, the role of microRNAs (miRNAs) and other non-coding RNAs remains poorly understood. We performed a genome-wide analysis of the miRNA-mRNA gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq). Our analysis revealed a widespread involvement of miRNAs in optical defocus perception and visually guided eye emmetropization underlying myopia development. We found that a relatively small number of miRNAs (39 miRNAs total) regulate expression of over 450 mRNAs, or 59% of all mRNAs differentially expressed in the eyes of mice with optical-defocus-induced myopia.  MiRNAs were also found to be involved in the regulation of the absolute majority of the biological processes and signaling pathways underlying visually guided eye emmetropization and myopia.",Analysis of mRNA expression in the RPE/choroid/sclera of C57BL/6J mice in which myopia was induced with -20D lenses for 10 days,
GSE6543,Chick myopia,"One-day old white Leghorn chicks were housed in brooders with a 12 hr light:dark cycle, using General Electric chroma 50 fluorescent lighting with irradiance of approximately 50渭W/cm2 at chick eye level. They received Purina Chick Chow food and water ad libitum. At one week of age and at the onset of the light phase, the chicks were anesthetized with inhalation ether, and a unilateral translucent white plastic goggle was glued to the periorbital feathers to induce ipsilateral form-deprivation myopia, alternating between the left or right eye.","Six biological replicates used for each: 3 day control retina, 3 day experimental, 6 hour control retina, and 6 hour experimental.","17652709,20363242"
GSE97125,Proteolytic processing of LRP2 on RPE cells regulates BMP activity to control eye size and refractive error,"We compare dissected ocular tissues from wild-type and lrp2-/- mutant adult zebrafish in order to examine the genetic pathways underlying the enlarged eye phenotype observed in the absence of Lrp2. ABSTRACT: Mutations in LRP2, a transmembrane receptor, cause ocular enlargement and high-myopia. LRP2 is expressed by the RPE and eye ciliary epithelia, binding many extracellular ligands, including Bmp4 and Shh. Signaling mediated by LRP2 is very context-dependent, and how multiple pathways are coordinated is unknown. Transcriptome analyses of ocular tissues revealed that controlled, sustained BMP signaling from the RPE is critical for normal eye growth and emmetropia (proper refraction). Using human iPSC-derived RPE, and zebrafish, we demonstrate that BACE sheddase-dependent LRP2 cleavage produces a soluble domain that binds BMP4, inhibiting its signaling. We propose that controlled proteolytic cleavage of LRP2 makes two ligand-binding receptor forms available: a soluble BMP trap, and a membrane-bound RPE signaling facilitator. By modulating LRP2 cleavage, cells can fine-tune and coordinate multiple signaling pathways. This data supports the concept that LRP2 acts as a homeostasis node that buffers and integrates diverse signaling to regulate emmetropic eye growth.","Examination of whole eyes, sclera/choroid, RPE and retina in wild-type and lrp2-/- mutant zebrafish at 1 month post-fertilization.",
GSE203630,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,
GSE161497,Gene expression across 4 and 24 hours of growth modulating paradigms in chicks,"Using RNA-Seq, mRNA from 54 retinae were sequenced from male chicks in which myopia development was inhibited by one of five growth inhibitory treatments.","Examination of mRNA levels in 54 retina samples across two timepoints (4 and 24 hours) and seven conditions (untreated, FDM, FDM and Atropine, FDM and Pirenzepine, FDM and ADTN, FDM and TPMPA, and Recovery from FDM).",34405458
GSE203629,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus [lens induced],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, positive optical defocus inhibits eye growth whereas negative optical defocus accelerates it. Increased exposure to negative optical defocus leads to the development of myopia. Although several studies investigated gene regulatory networks underlying retinal response to optical defocus, temporal changes that occur during ocular response to optical defocus are poorly understood. Here, we performed a genome-wide analysis of the retinal gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq) in chickens exposed to negative optical defocus for 1, 3 and 6 days. Our analysis revealed large-scale dynamic temporal changes in the retinal signaling pathways involved in the eye鈥檚 response to negative optical defocus. We found that different sets of pathways and biological functions were involved in the early, sustained and delayed response to optical defocus causing myopia. These data refine signaling pathways that can be targeted for myopia control and provide a framework for the development of new treatment options for myopia.",Analysis of mRNA expression in the retina of a group of chickens with lens-induced myopia (-10D lenses) during a 6 day period,
GSE309092,Remarkable composition shift of cone subtypes combined with changes on phototransduction due to cone mosaicism induced by ARR3 variants,"Heterozygous variants in ARR3, encoding cone arrestin, have been identified to cause high myopia with a unique X-linked female limited inheritance but the potential mechanism for the unusual anti-X-linked pattern is still unclear. Arr3 expression profiles showed that Arr3, with significant expression in retina since P14, was almost co-stained with Opsin red/green in cones including some partially co-stained with both Opsin red/green and Opsin blue. And then Arr3 knock-in mice and Arr3 knock-out rats were generated. A mosaic expression of Arr3 was present in rodents with Arr3 heterozygous deficiency according to retinal flat-mount staining. Retinal single-cell RNA sequencing revealed significant changes in proportion of three cone sub-clusters in Arr3+/- rats, namely significantly decreased M/S cones, and significantly increased S cones. Pde6h was the only one differentially expressed genes (DEGs) shred in M/S cones in the comparison group Arr3+/+ vs. Arr3+/- and Arr3-/0 vs. Arr3+/-, but not in Arr3+/+ vs. Arr3-/0. These results suggest that heterozygous Arr3 loss in cones causes mosaic changes of cone subtypes that might mimic defocus visual signals in phototransduction.","Retinal single-cell RNA sequencing (scRNA-seq) for subcluster of cones and  gene expression changes in samples of the induced Arr3+/+, Arr3+/- and Arr3-/0 rats.",
GSE235990,ScRNA-seq analysis of in vivo rat choroid and rat choroid in vitro co-cultured with human pluripotent stem cell (hPSC) derived endothelial cells,"Choroidal atrophy is a common fundus pathological change closely related to the development of age-related macular degeneration (AMD), retinitis pigmentosa, and pathological myopia. Studies suggested that choroidal endothelial cells (CECs) that form the choriocapillaris vessels are the first cells lost in choroidal atrophy. Endothelial cells derived from human pluripotent stem cells (hPSC-ECs) can form blood vessels in vivo and in vitro. We isolated rat choroid and co-cultured with hPSC-ECs. Single-cell RNA-seq (scRNA-seq) studies showed that rat choroid ECs seemed to lose endothelial identity while hPSC-ECs upregulated angiogenesis and hypoxia genes after interacting with choroid.",Perform scRNA-seq of fresh dissected rat choroid and rat choroid co-cultured with hPSC-EC for 48 hours.,38115754
GSE235684,Single Cell Transcriptomics Identifies Distinct Choroid Cell Populations Involved in Visually Guided Eye Growth,"Postnatal ocular growth is regulated by a vision-dependent mechanism, termed emmetropization, which acts to minimize refractive error through coordinated growth of the ocular tissues. Many studies suggest that the ocular choroid participates in the emmetropization process via the production of scleral growth regulators that control ocular elongation and refractive development.   To elucidate the role of the choroid in emmetropization, we used single-cell RNA sequencing (scRNA-seq) to characterize the cell populations in the chick choroid and compare gene expression changes in these cell populations during conditions in which the eye is undergoing emmetropization. UMAP clustering analysis identified 24 distinct cell clusters in all chick choroids. 7 clusters were identified as fibroblast subpopulations; 5 clusters represented different populations of endothelial cells; 4 clusters were CD45+ macrophages, T cells and B cells; 3 clusters were Schwann cell subpopulations; and 2 clusters were identified as melanocytes. Additionally, single populations of RBCs, plasma cells and neuronal cells were identified.  Significant changes in gene expression between control and treated choroids were identified in 17 cell clusters, representing 95% of total choroidal cells. The majority of significant gene expression changes were relatively small (< 2 fold). The highest changes in gene expression were identified in a rare cell population (0.11% - 0.49% of total choroidal cells). This cell population expressed high levels of neuron-specific genes as well as several opsin genes suggestive of a rare neuronal cell population that is potentially light sensitive. Our results, for the first time, provide a comprehensive profile of the major choroidal cell types and their gene expression changes during the process of emmetropization as well as insights into the canonical pathways and upstream regulators that coordinate postnatal ocular growth.","To investigate the gene expression changes in choroidal cell populations during the process of emmetropization, we isolated cells from choroid tissue digests of choroids isolated from chick eyes recovering from form deprivation myopia and contralateral control eyes. Following FACS sorting of live cells, live cells were processed for sc-RNA sequencing.  Comparative gene expression profiling analyses were performed for three samples of choroidal cell populations from control eyes and three sets of choroidal cell populations from recovering eyes.",38390290
GSE89325,"Pathway analysis identifies altered mitochondrial metabolism, neurotransmission, structural pathways and complement cascade in retina/RPE/choroid in chick model of form-deprivation myopia",Microarray analysis was performed on retina/RPE/choroid samples taken from the right eyes of male chicks across control and recovery from form deprivation conditions.,"Examination of mRNA levels in individual retina/RPE/choroid samples across 4 groups (control, 7 days form deprivation (FDM), 6 hours recovery and 24 hours recovery from form deprivation (FDMR)). Each group contains 5 samples that were pooled for this study","29967729,33674625"
GSE90118,Expression analysis of chicken chorioretinal tissues in control and myopic eyes with or without violet light,"To find the possible molecular mechanism of myopia protection by violet light, we performed expression microarray analysis of chick chorioretinal tissue. The mRNA were obtained at day 13 from the following four groups: control eyes with or without violet light exposure and covered eyes with or without violet light exposure, and then the gene expression pattern was compared among them. Principle component analysis, which is to find major patterns of variability in gene expression, was performed and we found that the largest gene population (PC1, positive: n = 138, negative: n = 292) was affected by violet light treatment. On the other hand, the second largest gene population (PC2, positive: n = 120, negative: n = 23) was affected in the eyes covered with a plastic lens. The previously reported myopia-related genes such as Bmp2, Ednrb, Fgf2, Igf1, Il18, Irbp, Lumican, Sfrp1, Tgfb1, Vegfa, Vip, and Wnt2b were not found in the PC1 group in vivo, which indicates that they responded less to violet light. In the PC1 group, only one myopia protective gene, EGR1 (ZENK, zif268), was found among the previously reported myopia related genes.","Sixteen eyeballs of eight chicks from the two experiment groups were divided into four subgroups: violet-/control, violet+/control, violet-/covered, violet+/covered. Total RNA of the four eyeballs in each subgroup were extracted and mixed. Total RNA was analyzed using Chicken (V2 026441) Gene Expression Microarray 4 x 44K (Agilent 153 Technologies, California, USA).",28063778
GSE200048,Genome-wide analysis of microRNA-mRNA gene regulatory networks reveals widespread involvement of microRNAs in visually guided eye emmetropization and myopia [miRNA retina],"During postnatal development, the optical geometry of the eye is refined through a process called emmetropization. During eye emmetropization, optical defocus triggers a signaling cascade that originates in the retina, propagates across other ocular tissues and results in scleral wall remodeling. This signaling is associated with large-scale changes in gene expression, which was extensively studied at the mRNA level. Although several studies investigated the role of non-coding RNAs in eye emmetropization, the role of microRNAs (miRNAs) and other non-coding RNAs remains poorly understood. We performed a genome-wide analysis of the miRNA-mRNA gene regulatory networks underlying optical-defocus-induced myopia using massive parallel RNA sequencing (RNA-seq). Our analysis revealed a widespread involvement of miRNAs in optical defocus perception and visually guided eye emmetropization underlying myopia development. We found that a relatively small number of miRNAs (39 miRNAs total) regulate expression of over 450 mRNAs, or 59% of all mRNAs differentially expressed in the eyes of mice with optical-defocus-induced myopia.  MiRNAs were also found to be involved in the regulation of the absolute majority of the biological processes and signaling pathways underlying visually guided eye emmetropization and myopia.",Analysis of microRNA expression in the retina of C57BL/6J mice in which myopia was induced with -20D lenses for 10 days,
GSE58124,Evaluation of MicroRNA Expression Profiles for Form-Deprivation Myopia in Mouse,"The study aim was to determine microRNA (miRNA) expression profiles of ocular tissues in form-deprivation induced myopia (FDM) mice. Form-deprivation myopia was induced in C57BL/6Jmice over the right eye; the contralateral left eyes were used as controls. Whole genome microRNA expression profiles in myopic whole eye, retina, and sclera were determined using the Agilent mouse miRNA microarray. The normalized microarray data were performed ANOVA test to identify differences in miRNA expression between myopic and control eyes. The differential expression for selected miRNAs was validated by quantitative real time PCR (qRT-PCR).","Fifteen C57BL/6J mice were used in this study.  Form-deprivation myopia was induced over the right eyes; the contralateral left eyes were used as controls. Total RNA was isolated from the whole eye (6 mice), retina (9 mice), and sclera (9 mice) and was used for miRNA expression profiling with the Agilent Mouse miRNA v.15 Microarray.",
