Group,GSE,Title,Assessment,Suitability_Level,Notes
3_Myopia_Tissues,GSE200053,mRNA sclera in defocus-induced myopia,Highly relevant,High,"Direct scleral transcriptome, rare and valuable"
3_Myopia_Tissues,GSE200054,SuperSeries emmetropization networks,Conditional,Medium,Must use subseries datasets
3_Myopia_Tissues,GSE203555,Chick defocus-induced myopia (1 day),Relevant,High,Early-response transcriptomics
3_Myopia_Tissues,GSE203585,Chick defocus-induced myopia (3 days),Relevant,High,Timepoint-resolved transcriptome
3_Myopia_Tissues,GSE203604,Chick defocus-induced myopia (6 days),Relevant,High,Well-controlled short-term induction model
3_Myopia_Tissues,GSE203619,Optical defocus control series,Not usable alone,Low,"Control only, requires paired dataset"
3_Myopia_Tissues,GSE203629,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus [lens induced],Relevant,High,Chick lens-induced myopia (-10D) retina RNA-seq time course; strong model for defocus-driven myopia transcriptional response.
3_Myopia_Tissues,GSE203630,Genome-wide analysis of gene regulatory networks in chickens reveals dynamic temporal changes in retinal signaling cascade underlying compensation to lens-imposed optical defocus,Conditional,Medium,"SuperSeries; must analyze individual SubSeries (e.g., 1d/3d/6d or control/treatment arms) rather than the SuperSeries as a standalone dataset."
3_Myopia_Tissues,GSE227724,Diurnal retina/choroid expression in chick myopia onset,Highly relevant,High,Temporal resolution + two tissues
3_Myopia_Tissues,GSE235684,Single Cell Transcriptomics Identifies Distinct Choroid Cell Populations Involved in Visually Guided Eye Growth,Highly relevant,High,Chick choroid scRNA-seq comparing FDM recovery vs control; high-value for choroid cell-type localization of myopia/emmetropization pathways.
3_Myopia_Tissues,GSE235990,ScRNA-seq analysis of in vivo rat choroid and rat choroid in vitro co-cultured with human pluripotent stem cell (hPSC) derived endothelial cells,Marginal,Low,Choroid scRNA-seq but focuses on in vitro co-culture/endothelial interaction; pathological myopia mentioned only as context; weak alignment to myopia intervention.
3_Myopia_Tissues,GSE253960,miR-204 in ARPE-19 cells,Not relevant,Low,"In vitro cell line, limited relevance to in vivo myopia"
3_Myopia_Tissues,GSE261232,Diurnal retina/choroid transcriptomics in chick myopia,Highly relevant,High,"Progression vs onset design, mechanistically strong"
3_Myopia_Tissues,GSE277911,LRP2 knockdown in iRPE cells,Not relevant,Low,In vitro knockdown system
3_Myopia_Tissues,GSE280609,Scleral RNA-seq in guinea pig LIM,Relevant,High,Direct scleral remodeling transcriptomics
3_Myopia_Tissues,GSE284642,Mouse FDM retina RNA-seq,Relevant (limited),Medium,Small n but valid biological model
3_Myopia_Tissues,GSE285669,Scleral RNA-seq in guinea pig FDM + quercetin,Relevant,Medium,"Direct scleral mechanism, limited n"
3_Myopia_Tissues,GSE309092,Remarkable composition shift of cone subtypes combined with changes on phototransduction due to cone mosaicism induced by ARR3 variants,Not relevant,Low,"ARR3 variant cone mosaicism scRNA-seq; genetic phototransduction mechanism, not experimental myopia intervention and not PBM."
